strategy,cagr,volatility,sharpe,sortino,max_drawdown,total_friction,friction_drag_pct,avg_turnover,n_rebalances,final_nav
hrp_optimized,0.0,0.0,0.0,0.0,0.0,2695.6113128878224,0.0026956113128878225,1.001,1,1000000.0
buy_and_hold,0.0,0.0,0.0,0.0,0.0,2266.0554883719865,0.0022660554883719864,1.0009999999999992,1,1000000.0
equal_weight,0.0,0.0,0.0,0.0,0.0,2266.0554883719865,0.0022660554883719864,1.0009999999999992,1,1000000.0
inverse_vol,0.0,0.0,0.0,0.0,0.0,1539.0384999998741,0.0015390384999998741,1.001,1,1000000.0
hrp,0.0,0.0,0.0,0.0,0.0,2614.906705267726,0.002614906705267726,1.000532671806485,1,1000000.0
