window_id,train_start,train_end,test_start,test_end,train_days,test_days,train_cagr,train_sharpe,train_sortino,train_volatility,train_max_drawdown,test_cagr,test_sharpe,test_sortino,test_volatility,test_max_drawdown,sharpe_degradation
0,2019-01-02,2021-01-01,2021-01-04,2021-12-31,519,259,0.3281260033423963,1.3334661079610854,1.243421941150857,0.22671789565022546,-0.3284519226099612,0.3049676062864479,2.434154287169584,3.218074028561696,0.10261790417842685,-0.05394161501289864,0.8254339368935952
1,2020-01-02,2021-12-31,2022-01-03,2022-12-30,519,259,0.5657874078902654,3.3325534294561283,4.477522204523386,0.15421998680290666,-0.08830320911725871,-0.12016784186164897,-0.9757607361226753,-1.3102409894195508,0.15890524061388392,-0.180275932254684,-1.2927967268275482
2,2021-01-04,2022-12-30,2023-01-02,2024-01-01,518,259,0.07715790554536905,0.24472129745886367,0.35250360909006573,0.1497979573015787,-0.18216351450969492,0.140132768188735,0.9446207126610956,1.127288043936435,0.09684923154695334,-0.10782496795850602,2.8599857162815234
3,2022-01-03,2024-01-01,2024-01-02,2025-01-01,518,260,-0.0026304919199394705,-0.3057522027353853,-0.4164984294105701,0.1398594963329675,-0.180275932254684,0.15909950309206544,1.060631211046735,1.2272636120222973,0.10432803253982591,-0.062326105197251874,4.4689241861804785
