regime,n_days,pct_of_total,cagr,volatility,sharpe,max_drawdown,avg_daily_return,win_rate
bull,256,50.0,0.10541632851211236,0.062232996728441035,-0.02215569910433783,-0.028237736943319536,0.0001884151429665292,0.5098039215686274
sideways,128,25.0,0.17962684773393134,0.09476136330670375,0.6517933453195028,-0.05234238036230658,0.00042051968746808013,0.546875
high_vol,102,19.921875,0.0958329030813454,0.09179271159062409,3.190298532117288,-0.06002154328977037,0.001170491460442032,0.5588235294117647
bear,26,5.078125,0.35343697905000226,0.16688504622105121,-1.230707299982067,-0.06645343026942753,-0.0006699196462823414,0.5769230769230769
